"pair","species","female_choice","first_choice","scape_side","carapace_length_mm","claw_vertical_size_mm","claw_length_mm"
"1","LA",3,1,4,10.4,7.3,20.54
"1","CA",0,0,3,11.56,5.6,20.3
"2","LA",3,1,3,9.26,5.6,18.74
"2","CA",0,0,4,10.54,5.24,18.77
"3","LA",3,1,4,9.85,5.48,18.6
"3","CA",0,0,0,9.98,6.08,18.71
"4","LA",2,0,3,8.22,4.9,15.4
"4","CA",1,1,1,9.88,5.5,15.83
"5","LA",3,1,4,8.8,4.37,16.03
"5","CA",0,0,0,9.17,5.38,15.93
"6","LA",1,1,2,10.16,4.54,18.12
"6","CA",2,0,0,10.25,6.08,17.58
"7","LA",2,1,2,8.79,4.34,15.31
"7","CA",1,0,3,10.16,5.04,14.7
"8","LA",3,1,0,9.7,5.97,19.22
"8","CA",0,0,0,10.91,6.23,19.62
"9","LA",3,1,2,9.92,6.02,19.12
"9","CA",0,0,0,10.98,6.31,19.38
"10","LA",3,1,3,9.96,5.95,19.93
"10","CA",0,0,2,10.89,6.37,19.48
"11","LA",3,1,2,9.22,5.47,18.06
"11","CA",0,0,1,9.47,5.46,17.24
