"pair","species","female_choice","first_choice","scape_side","carapace_length_mm","claw_vertical_size_mm","claw_length_mm"
"1","LB",3,NA,3,9.3,5.3,18.6
"1","CP",0,NA,2,9.57,5.1,17.84
"2","LB",2,NA,2,9.02,5.4,15.4
"2","CP",1,NA,0,8.8,4.6,15.6
"3","LB",3,NA,3,7.6,5.2,17.01
"3","CP",0,NA,0,8.98,5.2,16.1
"4","LB",2,NA,5,9.6,5.9,15.4
"4","CP",1,NA,2,7.9,5.8,15.32
"5","LB",2,NA,2,10.88,6.8,19.6
"5","CP",1,NA,2,9.87,5.9,20.8
"6","LB",2,NA,3,10.86,6.3,19.1
"6","CP",1,NA,0,9.78,5.1,19.35
"7","LB",3,NA,5,10.91,6.68,22.98
"7","CP",0,NA,1,10.93,5.4,23.32
"8","LB",3,NA,5,9.6,6.1,16.7
"8","CP",0,NA,3,10,5.45,16.2
"9","LB",1,NA,2,9.54,5.2,15.48
"9","CP",2,NA,1,9.65,5.4,16.23
