"pair","species","female_choice","first_choice","scape_side","carapace_length_mm","claw_vertical_size_mm","claw_length_mm"
"1","CA",0,0,2,10.2,5.6,18.4
"1","LC",3,1,6,10,5.6,18.4
"2","CA",1,0,1,10.2,5.2,14.4
"2","LC",2,1,2,9.2,4.8,14.5
"3","CA",2,1,1,7.7,5.4,16
"3","LC",1,0,2,9.2,5.2,15.9
"4","CA",2,1,1,9.2,5.7,15.5
"4","LC",1,0,0,7.9,4.9,14.6
"5","CA",1,0,2,11.1,6.9,20.4
"5","LC",2,1,2,10.5,6,20.5
"6","CA",0,0,0,11.5,6.3,18.8
"6","LC",3,1,1,10.2,5.2,19
"7","CA",2,1,0,11.7,7,23.2
"7","LC",1,0,6,11,5.4,23.1
"8","CA",1,1,3,9.1,6.3,15.6
"8","LC",2,0,3,9.9,5,15.6
"9","CA",0,0,8,9.2,5.3,15.2
"9","LC",3,1,5,10.8,4.5,15.4
"10","CA",1,1,0,9.9,5.5,17.2
"10","LC",2,0,1,9.3,5.5,17.8
"11","CA",1,0,2,11.93,7.45,23.3
"11","LC",2,1,2,10.69,6.16,22.87
"12","CA",1,1,3,10.95,6.16,18.55
"12","LC",2,0,1,9.6,5.24,18.14
"13","CA",3,1,0,9.2,5.17,17.54
"13","LC",0,0,2,8.95,6.1,18.7
"14","CA",2,0,0,10,6.41,24.72
"14","LC",1,1,2,10.5,5.54,24.83
"15","CA",2,1,0,9.2,6.4,17.62
"15","LC",1,0,0,8.73,5.6,17.54
"16","CA",0,0,1,10.12,6.03,18.89
"16","LC",3,1,0,9.86,6.12,18.95
"17","CA",1,0,0,10.13,6.07,18.41
"17","LC",2,1,5,10.07,4.34,17.73
"18","CA",1,1,2,10.03,6.05,18.11
"18","LC",2,0,2,10.02,5.09,17.46
"19","CA",0,0,2,9.32,5.01,15.63
"19","LC",3,1,2,9.31,5.12,16.14
"20","CA",0,0,2,10.14,6.38,17.8
"20","LC",3,1,6,9.91,5.43,17
