"pair","species","female_choice","first_choice","scape_side","carapace_length_mm","claw_vertical_size_mm","claw_length_mm"
"1","LC",3,1,5,10.1,5.8,20.4
"1","LA",0,0,4,8.8,5.7,19.3
"2","LC",2,1,5,10.9,5.3,22.3
"2","LA",1,0,5,11,6.2,21.8
"3","LC",0,0,5,10.47,6.9,21.37
"3","LA",3,1,5,10.42,6.3,21.39
"4","LC",3,1,4,11.34,5.6,23.99
"4","LA",0,0,1,11.21,6.03,23.2
"5","LC",1,1,4,10.64,5.72,21.03
"5","LA",2,0,4,10.59,5.89,20.89
"6","LC",1,1,7,10.11,5.76,22.6
"6","LA",2,0,4,10.79,5.61,22.14
"7","LC",2,1,2,10.16,6.32,21.16
"7","LA",1,0,3,11.3,6.21,21.72
"8","LC",1,0,1,10.05,5.4,18.31
"8","LA",2,1,1,10.58,5.7,18.73
"9","LC",2,0,6,10.85,5.11,22.3
"9","LA",1,1,0,10.65,5.8,22.31
"10","LC",2,1,2,10.23,6.18,21.89
"10","LA",1,0,1,10.67,5.13,21.32
"11","LC",1,0,2,11.09,6.14,21.48
"11","LA",2,1,6,10.73,5.87,21.82
"12","LC",3,1,0,10.98,6.06,21.88
"12","LA",0,0,3,10.8,5.33,20.97
"13","LC",1,1,1,9.94,5.2,20.67
"13","LA",2,0,0,10.25,5.52,20.08
"14","LC",2,1,1,10.23,5.79,20.35
"14","LA",1,0,0,10.09,5.22,19.54
"15","LC",2,0,2,9.71,5.61,17.36
"15","LA",1,1,1,9.44,5.16,17.88
"16","LC",2,1,8,11.22,5.47,19.88
"16","LA",1,0,2,9.87,5.63,20.48
"17","LC",2,1,2,9.34,5.32,16.45
"17","LA",1,0,1,9.84,5.42,16.23
"18","LC",1,0,1,9.33,5.01,17.13
"18","LA",2,1,1,9.7,5.4,16.96
"19","LC",2,1,1,9.77,5.06,18.3
"19","LA",1,0,3,10.06,5.32,18.56
"20","LC",2,1,2,11,5.1,21.1
"20","LA",1,0,4,10.4,6,21.9
