"pair","species","female_choice","first_choice","scape_side","carapace_length_mm","claw_vertical_size_mm","claw_length_mm"
"1","LP",2,1,1,9.78,5.09,19.27
"1","CB",1,0,4,9.99,5.55,19.88
"2","LP",0,0,3,9.91,5.92,19.53
"2","CB",3,1,1,10.83,5.32,20.19
"3","LP",1,1,4,9.15,5.48,18.2
"3","CB",2,0,7,10.31,6.45,18.62
"4","LP",0,0,1,10.58,5.24,20.29
"4","CB",3,1,2,11.23,6.5,19.78
"5","LP",1,0,1,9.18,5.57,16.27
"5","CB",2,1,11,8.45,5.34,15.6
"6","LP",0,0,6,9.94,5.6,18.31
"6","CB",3,1,2,10.41,6.09,18.96
"7","LP",0,0,3,8.58,4.6,13.84
"7","CB",3,1,2,9.2,5.33,14.71
"8","LP",1,0,6,9.66,4.98,17.43
"8","CB",2,1,6,10.41,5.85,17.25
"9","LP",0,0,1,9.97,6.17,19.78
"9","CB",3,1,5,10.52,7.13,20.22
