wl,mean_mjoebergi,sd_mjoebergi,mean_leptodactyla,sd_leptodactyla
300,28.0680486,13.28830599,27.55447667,11.44010251
301,28.0680486,13.28830599,28.17412982,11.43100705
302,28.0680486,13.28830599,28.77736186,11.42312806
303,28.26412177,13.5138872,29.36413233,11.41631633
304,28.45388644,13.73212843,29.93440096,11.41043004
305,28.63729857,13.94293834,30.48812766,11.40533496
306,28.81431411,14.1462256,31.02527252,11.40090467
307,28.98488902,14.34189886,31.54579583,11.39702074
308,29.14897924,14.52986677,32.0496581,11.39357292
309,29.30654074,14.710038,32.53682001,11.39045938
310,29.45752946,14.8823212,33.00724247,11.38758688
311,29.60190136,15.04662503,33.46088661,11.38487102
312,29.73961239,15.20285815,33.89771377,11.38223646
313,29.87061852,15.35092921,34.31758945,11.37967006
314,29.99487568,15.49074687,34.7204524,11.37717262
315,30.11248155,15.62241237,35.10637405,11.37469717
316,30.22358037,15.74614257,35.47542584,11.37219736
317,30.32819794,15.86201951,35.82767921,11.36962734
318,30.42636009,15.97012526,36.16320562,11.36694162
319,30.5180926,16.07054187,36.48207654,11.36409504
320,30.6034213,16.16335139,36.78436343,11.36104259
321,30.68237199,16.24863589,37.07013777,11.35773941
322,30.75497048,16.32647742,37.33947103,11.35414064
323,30.82124257,16.39695803,37.59243468,11.35020142
324,30.88121408,16.46015978,37.8291002,11.34587682
325,30.93491081,16.51616473,38.04953904,11.34112179
326,30.98235858,16.56505494,38.25316095,11.33586903
327,31.02322881,16.60611752,38.43943814,11.33010627
328,31.05724052,16.6387192,38.60853569,11.32386379
329,31.08449088,16.66306148,38.7606184,11.31716171
330,31.10507707,16.67934585,38.89585081,11.31000926
331,31.11909626,16.68777379,39.01439719,11.30240416
332,31.12664561,16.6885468,39.11642151,11.2943322
333,31.12782231,16.68186636,39.20208744,11.28576689
334,31.12272353,16.66793396,39.27155835,11.27666924
335,31.11144644,16.64695109,39.3249973,11.26698779
336,31.09408821,16.61911925,39.36256705,11.25665862
337,31.07074602,16.58463991,39.38443007,11.24560562
338,31.04151704,16.54371457,39.39074852,11.23374082
339,31.00649844,16.49654471,39.37816898,11.22140853
340,30.96377582,16.43970563,39.34394082,11.20913763
341,30.91178703,16.37034976,39.28912931,11.19706985
342,30.85115759,16.28954432,39.2147982,11.18528511
343,30.78251305,16.19835652,39.12200947,11.17379091
344,30.70647894,16.09785359,39.01182317,11.16251461
345,30.62368081,15.98910275,38.88529724,11.1512987
346,30.53474417,15.8731712,38.74348754,11.13989902
347,30.44029458,15.75112617,38.58744783,11.12798589
348,30.34095757,15.62403488,38.41822988,11.11514814
349,30.23735867,15.49296455,38.23688366,11.1009
350,30.13012343,15.35898239,38.04445752,11.08469071
351,30.01987737,15.22315562,37.81459041,11.06580121
352,29.90184968,15.07454042,37.52621877,11.0443817
353,29.77177647,14.90373263,37.18833565,11.02112065
354,29.6310437,14.71410897,36.80993283,10.99665362
355,29.4810373,14.50904615,36.4000002,10.97153993
356,29.32314324,14.29192086,35.96752537,10.94624447
357,29.15874746,14.06610983,35.52149334,10.9211249
358,28.98923591,13.83498976,35.07088629,10.89642451
359,28.81599454,13.60193736,34.62468361,10.87227081
360,28.64040931,13.37032935,34.19186195,10.84868022
361,28.46386617,13.14354243,33.78139554,10.82556888
362,28.28775106,12.9249533,33.40225656,10.80276966
363,28.11344993,12.7179387,33.06341574,10.78005552
364,27.94234874,12.52587531,32.71782776,10.75398383
365,27.76302342,12.32728438,32.31965771,10.72222264
366,27.56533682,12.10219318,31.8796906,10.68615424
367,27.35260527,11.85623749,31.40870994,10.64710051
368,27.12814509,11.5950531,30.91749722,10.60630005
369,26.89527262,11.32427576,30.41683148,10.56489073
370,26.65730418,11.04954126,29.91748901,10.5238983
371,26.41755609,10.77648538,29.43024325,10.48423121
372,26.17934468,10.51074389,28.96586482,10.44668258
373,25.94598628,10.25795257,28.53512176,10.41193965
374,25.72079722,10.02374718,28.14877997,10.38060118
375,25.50709382,9.813763522,27.81760379,10.3532032
376,25.30819241,9.633637355,27.5096321,10.32484373
377,25.10944864,9.465543701,27.18840712,10.29109484
378,24.89596083,9.289520146,26.85794735,10.25316757
379,24.67065928,9.107996317,26.52227061,10.21224593
380,24.43647432,8.923401842,26.18539365,10.16946998
381,24.19633625,8.738166347,25.85133183,10.12592196
382,23.95317539,8.554719462,25.52409881,10.08261553
383,23.70992206,8.375490813,25.20770641,10.04048849
384,23.46950656,8.202910027,24.90616452,10.00039924
385,23.2348592,8.039406733,24.6234811,9.963127505
386,23.00891032,7.887410557,24.36366233,9.929379505
387,22.7945902,7.749351127,24.13071284,9.89979802
388,22.59482918,7.627658071,23.92863608,9.874977493
389,22.41255756,7.524761016,23.75591125,9.851700743
390,22.2387251,7.441152463,23.60661527,9.8267822
391,22.06309462,7.37425288,23.47814766,9.800844186
392,21.88681609,7.321883843,23.36790746,9.774488794
393,21.71103944,7.281866928,23.27329251,9.74826955
394,21.53691461,7.252023714,23.19169894,9.722669618
395,21.36559156,7.230175776,23.12052078,9.69808679
396,21.19822023,7.214144691,23.05714983,9.674825531
397,21.03595056,7.201752036,22.99897554,9.653096335
398,20.87993249,7.190819389,22.94338528,9.633022637
399,20.73131598,7.179168324,22.88776463,9.614655449
400,20.59125096,7.164620421,22.82949797,9.597995837
401,20.46088738,7.144997254,22.78571287,9.583091128
402,20.33992817,7.135131381,22.77241844,9.569838853
403,20.22688326,7.148829043,22.78532117,9.55800887
404,20.12111313,7.182372344,22.82012773,9.547377392
405,20.02197827,7.232043387,22.87254464,9.537714485
406,19.92883913,7.294124275,22.938278,9.528774159
407,19.84105622,7.364897112,23.01303337,9.520287085
408,19.75799,7.440644001,23.09251562,9.511955947
409,19.67900094,7.517647046,23.17242887,9.503453426
410,19.60344953,7.592188351,23.24847656,9.494422821
411,19.53069625,7.660550018,23.31636145,9.484481261
412,19.46010156,7.719014152,23.37178584,9.473225517
413,19.39102596,7.763862855,23.41045171,9.46024039
414,19.3228299,7.791378232,23.45071736,9.446606939
415,19.25914771,7.81390004,23.51138342,9.433566379
416,19.20343118,7.845058384,23.58881564,9.420954376
